Country,Year,GDP_Current_USD,GDP_Per_Capita_USD,Inflation_Rate_WB,Unemployment_Rate_WB,GDP_Per_Capita_Growth,Exports_WB,Imports_WB,Gini_Coefficient_WB,Population_WB
Algeria,2015,187493855609.345,4685.05902729002,4.78444700693889,11.206,1.099620617724,38489004322.7411,61266393934.4274,,40019529.0
Algeria,2016,180763839522.151,4424.98529027556,6.39769480268757,10.202,1.78594064716746,33417246978.2851,56532525719.5141,,40850721.0
Algeria,2017,189880896903.073,4554.66753957828,5.59111590961664,12.0,-0.541667023472826,38609773040.5942,55990439549.8232,,41689299.0
Algeria,2018,194554483655.528,4577.21029180491,4.26999020467084,12.137,-0.546019580974331,45570702426.4208,56446212848.1077,,42505035.0
Algeria,2019,193459662090.677,4468.45341883656,1.95176821052892,12.259,-0.939992961238175,39481135535.1468,50490845023.6565,,43294546.0
Algeria,2020,164873415325.201,3743.5419522929,2.41513094083414,14.057,-6.61247509796932,25613416650.3651,40978554435.8274,,44042091.0
Algeria,2021,186231205262.082,4160.55926736925,7.22606307415477,13.63,2.13263632780773,43660727771.3446,43564492197.796,,44761099.0
Algeria,2022,225638456572.143,4961.55257664733,9.26551551551553,12.346,1.96825188007162,69516903679.1619,46015346669.8381,,45477389.0
Algeria,2023,247626161016.414,5364.02795022731,9.32217375928322,11.701,2.55120301937745,58488151164.9929,49682172277.5965,,46164219.0
Argentina,2015,594749285413.212,13679.6264980954,,7.579,1.66091253843923,63671789068.8987,70064879911.7042,,43477012.0
Argentina,2016,557532320662.955,12699.9623137756,,8.085,-3.02450095578762,69842604407.3878,75639254067.6608,42.3,43900313.0
Argentina,2017,643628393281.364,14532.5009308511,,8.347,1.91639608148853,72860557902.7631,89910495566.9384,41.4,44288894.0
Argentina,2018,524819892360.176,11752.7998922979,,9.22,-3.41553683867816,75766598613.0197,85681309473.2328,41.7,44654882.0
Argentina,2019,447754683615.225,9955.97478680428,,9.843,-2.69506723533574,80259482469.139,65845624691.108,43.3,44973465.0
Argentina,2020,385740508436.965,8535.59938004389,,11.461,-10.3361096878518,64053810078.3073,52454091268.1886,42.7,45191965.0
Argentina,2021,486564085480.036,10738.0179223384,,8.736,10.1485599877349,87906118244.6601,73042905138.0607,42.4,45312281.0
Argentina,2022,632790070063.124,13935.6811110049,,6.805,5.04819532337936,102815821983.44,96814941605.3868,40.7,45407904.0
Argentina,2023,646075277525.125,14187.4827252965,,6.139,-1.89294979737558,82369725072.6446,89748037627.6165,,45538401.0
Australia,2015,1351296372254.31,56739.0265346593,1.50836672165921,6.055,0.729964314626955,271152836560.501,291850364122.4,,23815995.0
Australia,2016,1206836962281.84,49888.0410842736,1.27699094497324,5.711,1.16681538734224,232663011512.861,261827324555.529,33.7,24190907.0
Australia,2017,1325582658156.54,53901.7145392154,1.94864740944527,5.592,0.609016553617764,281774035049.614,277671313150.053,,24592588.0
Australia,2018,1427809041019.44,57196.4220783778,1.91140094445691,5.3,1.35086613147908,312605804111.245,311861687284.904,34.3,24963258.0
Australia,2019,1392723834562.64,54972.7017885437,1.61076787290379,5.159,0.673067165560809,336477593836.115,306786753625.531,,25334826.0
Australia,2020,1328414058378.38,51791.540179984,0.846905537459305,6.456,-1.34397743292375,319174580744.374,274154332727.111,,25649248.0
Australia,2021,1556735770437.26,60607.7788605166,2.86391042204994,5.116,1.96739983729857,343364164705.654,284038962017.929,,25685412.0
Australia,2022,1690858246994.43,64997.0136536475,6.59409671341846,3.728,2.92410064137691,431702961776.761,343078219088.328,,26014399.0
Australia,2023,1728057316695.61,64820.9117890026,5.5970149253731,3.668,0.941014568468177,463106247223.68,387533147572.319,,26658948.0
Bangladesh,2015,195146608978.131,1224.38647668165,6.19428022984984,4.396,5.60449539732434,33831931004.0501,48297463643.7965,,159383179.0
Bangladesh,2016,265224515675.034,1649.28380858601,5.51352572692995,4.35,6.16181560014782,36922447162.046,46183400773.3724,32.4,160811932.0
Bangladesh,2017,293732446624.596,1811.08221668646,5.70207015717239,4.372,5.68710307010265,37655756192.841,50463186692.0898,,162186147.0
Bangladesh,2018,321362752441.78,1965.24372731467,5.54362139486476,4.407,6.44197494702485,40732047404.0872,63757868050.7515,,163523103.0
Bangladesh,2019,351231654603.692,2129.79896954606,5.59199639930629,4.441,6.97264399779152,45992932855.1263,64919190426.113,,164913055.0
Bangladesh,2020,373979442362.193,2248.85078828233,5.69107474746211,5.436,2.58647816564581,39053880559.8514,59195931838.1946,,166298024.0
Bangladesh,2021,416271647911.014,2482.84917843357,5.54565430773473,5.327,6.07069417020969,44386125441.8587,71021045805.0068,,167658854.0
Bangladesh,2022,460131688909.301,2716.48592677835,7.69695437176898,4.593,6.00847462887278,59275206064.019,96157127851.08,33.4,169384897.0
Bangladesh,2023,437415331040.994,2551.01772674142,9.8835030377921,4.454,4.4907040939439,57551451740.6239,77972815220.7747,,171466990.0
Belgium,2015,461044767544.531,40893.804537772,0.561429152790065,8.482,0.887876406326484,359051241755.781,355884802917.226,27.7,11274196.0
Belgium,2016,474271566739.729,41854.5498296444,1.97385264653181,7.83,0.68245474304338,377606160656.616,376759269084.981,27.6,11331422.0
Belgium,2017,500908767351.53,44035.3239358548,2.12597086002607,7.09,1.08431155343098,417980340772.354,418056820188.001,27.4,11375158.0
Belgium,2018,542638913427.921,47487.2100392561,2.05316499865186,5.941,1.41528947248707,453011551860.862,460128692309.647,27.2,11427054.0
Belgium,2019,536726344405.489,46716.6227467964,1.43681956996429,5.364,1.89071934199556,445308040880.784,442788775443.921,27.2,11488980.0
Belgium,2020,529694473501.791,45906.2875805246,0.740791812220344,5.545,-5.20244009899054,419501446549.729,411854672039.534,26.0,11538604.0
Belgium,2021,598494036474.409,51655.7883303715,2.44024851144084,6.248,5.76632057182083,536427846318.596,525242552932.162,26.6,11586195.0
Belgium,2022,593438820508.173,50807.2047084918,9.597511728725,5.57,3.39444810875487,565356119426.461,574024394596.111,,11680210.0
Belgium,2023,644782756682.756,54700.9093236712,4.04901077613941,5.528,0.330761544683028,542674883879.225,546541176110.402,,11787423.0
Brazil,2015,1802212206904.68,8936.19661756825,9.02990102416136,8.538,-4.30639755912077,232488824444.589,253272712377.634,51.9,201675532.0
Brazil,2016,1795693482652.52,8836.28652636996,8.73914352329393,11.58,-4.01012719354725,223863343103.297,216686387069.85,53.4,203218114.0
Brazil,2017,2063514977334.32,10080.5092817775,3.44637335032669,12.792,0.587668928736335,258330777006.501,243510584262.84,53.3,204703445.0
Brazil,2018,1916933898038.36,9300.66164936497,3.66485028376729,12.329,1.09040860447158,280543266303.121,272994464677.427,53.9,206107261.0
Brazil,2019,1873288205186.45,9029.83326742175,3.73297621216894,11.936,0.562970837578547,264562979421.068,276634813667.029,53.5,207455459.0
Brazil,2020,1476107231194.11,7074.19378281866,3.21176803803376,13.697,-3.83550546659214,242872071018.291,233941246230.247,48.9,208660842.0
Brazil,2021,1670647399034.67,7972.53665048385,8.30165975585673,13.158,4.3179316171849,319251201403.084,309853308958.678,52.9,209550294.0
Brazil,2022,1951923942083.32,9281.33334441234,9.28010608956873,9.231,2.64631532411505,383177602116.201,374482483050.831,52.0,210306415.0
Brazil,2023,2173665655937.27,10294.866680778,4.59356282283204,7.947,2.50184181305286,393656923982.556,342214686307.41,,211140729.0
Canada,2015,1556508816217.14,43594.1941045394,1.12524136094277,6.945,-0.112369172949158,495747450357.728,534115083556.223,33.7,35704498.0
Canada,2016,1527994741907.43,42314.0615817218,1.42875954701085,7.038,-0.0982963525159875,481357649980.237,517396012626.09,32.7,36110803.0
Canada,2017,1649265644244.09,45129.628116623,1.59688412852977,6.426,1.80946446279282,518766780219.71,554922650425.45,33.3,36545075.0
Canada,2018,1725329192783.02,46539.1761570405,2.26822567248103,5.837,1.28092657904244,557719627178.031,591347645767.306,32.5,37072620.0
Canada,2019,1743725183672.52,46352.8693445211,1.94926902411593,5.69,0.42965758108582,564142104614.779,589706748631.384,31.7,37618495.0
Canada,2020,1655684730000.19,43537.839298904,0.716999632307827,9.657,-6.06240642959015,487990676642.934,524572641557.224,,38028638.0
Canada,2021,2007472181464.15,52496.8441693242,3.39519318527528,7.527,4.70538205187351,626659601646.079,626488133458.384,,38239864.0
Canada,2022,2161483369422.01,55509.393176404,6.80280115341613,5.279,1.95567065895641,731555074343.765,728719235183.076,,38939056.0
Canada,2023,2142470914401.36,53431.1857063879,3.87900159788426,5.415,-1.67686294923784,714927640904.957,724652002690.122,,40097761.0
